('Total Revenue', '184,903,000', '143,015,000', '110,360,000', '168,088,000', '125,843,000')
         569302 function calls (546289 primitive calls) in 6.184 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       97    0.000    0.000    0.001    0.000 enum.py:980(__or__)
      191    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
       70    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
     1056    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      406    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
     1056    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       32    0.000    0.000    0.183    0.006 response.py:728(read_chunked)
  151/150    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      331    0.000    0.000    0.116    0.000 re.py:249(compile)
      382    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      279    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      226    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       89    0.000    0.000    0.000    0.000 typing.py:205(_collect_type_vars)
    65/34    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      146    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
    94/57    0.000    0.000    0.123    0.002 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
       12    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
        8    0.000    0.000    0.000    0.000 url.py:210(_encode_invalid_chars)
      279    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
        3    0.000    0.000    0.016    0.005 utils.py:1(<module>)
      234    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      150    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      192    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       78    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x10fc5b9a0}
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      238    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       48    0.000    0.000    0.000    0.000 __init__.py:617(_linkage_fixer)
      201    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      143    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      470    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      509    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       36    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       28    0.000    0.000    0.001    0.000 typing.py:482(Union)
        1    0.000    0.000    0.128    0.128 connection.py:356(connect)
       33    0.000    0.000    0.011    0.000 response.py:692(_update_chunk_length)
      992    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
      229    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      317    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       28    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
      338    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      156    0.000    0.000    0.001    0.000 _collections_abc.py:901(__iter__)
       42    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
       32    0.000    0.000    0.168    0.005 response.py:706(_handle_chunk)
        1    0.000    0.000    0.000    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
      171    0.000    0.000    0.006    0.000 sre_parse.py:96(closegroup)
    42/30    0.000    0.000    0.011    0.000 css_parser.py:581(parse_pseudo_class)
        1    0.000    0.000    0.000    0.000 ssl.py:1330(_real_close)
    39/18    0.000    0.000    0.148    0.008 {built-in method builtins.__import__}
       10    0.000    0.000    0.003    0.000 enum.py:483(_create_)
        1    0.000    0.000    6.184    6.184 financial.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'set_ciphers' of '_ssl._SSLContext' objects}
       29    0.000    0.000    0.000    0.000 ipaddress.py:1609(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 status_codes.py:107(_init)
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
       32    0.000    0.000    0.004    0.000 response.py:395(_decode)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
       54    0.000    0.000    0.168    0.003 client.py:623(_safe_read)
        1    0.000    0.000    0.000    0.000 response.py:160(HTTPResponse)
      485    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       88    0.000    0.000    0.001    0.000 typing.py:933(__init__)
        1    0.000    0.000    0.000    0.000 hashlib.py:1(<module>)
      482    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 models.py:274(PreparedRequest)
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
      145    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        1    0.000    0.000    0.039    0.039 dammit.py:1(<module>)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
        1    0.000    0.000    0.000    0.000 six.py:165(_SixMetaPathImporter)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       32    0.000    0.000    0.001    0.000 typing.py:1121(__getitem__)
       19    0.000    0.000    0.000    0.000 parse.py:437(urlsplit)
      268    0.000    0.000    0.000    0.000 os.py:758(decode)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
      954    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      146    0.000    0.000    0.000    0.000 os.py:754(encode)
      197    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
        2    0.000    0.000    0.001    0.000 request.py:2488(getproxies_environment)
      145    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
      237    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1578(_fill_cache)
      240    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      239    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      238    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
        1    0.000    0.000    0.030    0.030 dammit.py:2310(EntitySubstitution)
      146    0.000    0.000    0.000    0.000 socket.py:730(readable)
    38/29    0.000    0.000    0.011    0.000 css_parser.py:741(parse_pseudo_open)
        1    0.000    0.000    0.069    0.069 css_parser.py:1(<module>)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
      390    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        3    0.000    0.000    0.011    0.004 request.py:1(<module>)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1202(_parse_octet)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
      155    0.000    0.000    0.000    0.000 typing.py:137(_type_convert)
       31    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       45    0.000    0.000    0.481    0.011 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 {built-in method today}
      197    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       42    0.000    0.000    0.000    0.000 element.py:1985(__init__)
       47    0.000    0.000    0.000    0.000 ipaddress.py:536(_split_addr_prefix)
       52    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
      731    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1485(__init__)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
       42    0.000    0.000    0.001    0.000 abc.py:105(__new__)
       92    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      316    0.000    0.000    0.000    0.000 enum.py:801(value)
        2    0.000    0.000    0.005    0.002 models.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:426(OpenerDirector)
        1    0.000    0.000    0.006    0.006 ssl.py:1(<module>)
       27    0.000    0.000    0.001    0.000 typing.py:1206(__getitem__)
