('Total Revenue', '184,903,000', '143,015,000', '110,360,000', '168,088,000', '125,843,000')
         569323 function calls (546299 primitive calls) in 1.194 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:397(freeze)
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
      145    0.000    0.000    0.704    0.005 ssl.py:1120(read)
      191    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      728    0.000    0.000    0.000    0.000 element.py:1456(get)
      171    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
  619/589    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      279    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      426    0.000    0.000    0.000    0.000 _htmlparser.py:189(handle_data)
      731    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      391    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      172    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
        1    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
      451    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      322    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
      600    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      613    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
       42    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      243    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      613    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
       84    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
      959    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      428    0.000    0.000    0.000    0.000 __init__.py:739(handle_data)
      316    0.000    0.000    0.000    0.000 types.py:176(__get__)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      201    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
        1    0.000    0.000    0.000    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
      197    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1422(find_spec)
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
        1    0.000    0.000    0.001    0.001 six.py:1(<module>)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
       70    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      191    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
       54    0.000    0.000    0.161    0.003 client.py:623(_safe_read)
     1379    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       16    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
     1718    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      742    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
    227/3    0.000    0.000    0.218    0.073 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      406    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
     1335    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     1056    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      382    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       97    0.000    0.000    0.001    0.000 enum.py:980(__or__)
