('Total Revenue', '184,903,000', '143,015,000', '110,360,000', '168,088,000', '125,843,000')
         661467 function calls (635819 primitive calls) in 1.271 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1255    0.001    0.000    0.001    0.000 element.py:1284(is_empty_element)
      300    0.001    0.000    0.004    0.000 _connection.py:356(_extract_next_receive_event)
      146    0.001    0.000    0.664    0.005 sync.py:22(read)
      568    0.001    0.000    0.001    0.000 enum.py:470(__setattr__)
      457    0.001    0.000    0.001    0.000 contextlib.py:139(__exit__)
    243/4    0.001    0.000    0.297    0.074 <frozen importlib._bootstrap_external>:877(exec_module)
      157    0.001    0.000    0.002    0.000 _connection.py:230(_process_event)
      243    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      193    0.001    0.000    0.082    0.000 sre_parse.py:937(parse)
     4993    0.001    0.000    0.001    0.000 element.py:1499(__bool__)
     1236    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      243    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
       77    0.001    0.000    0.005    0.000 css_parser.py:474(parse_attribute_selector)
      133    0.000    0.000    0.006    0.000 typing.py:482(Union)
       25    0.000    0.000    0.001    0.000 enum.py:222(<setcomp>)
      450    0.000    0.000    0.001    0.000 sre_parse.py:84(opengroup)
     2142    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     3805    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      424    0.000    0.000    0.002    0.000 element.py:932(__new__)
      153    0.000    0.000    0.170    0.001 http11.py:155(_receive_response_body)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      729    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1005    0.000    0.000    0.000    0.000 {built-in method fromkeys}
1748/1217    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
  271/269    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     1965    0.000    0.000    0.000    0.000 element.py:1882(descendants)
      421    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
        5    0.000    0.000    0.176    0.035 {method 'join' of 'bytes' objects}
       15    0.000    0.000    0.006    0.000 dataclasses.py:882(_process_class)
     1256    0.000    0.000    0.000    0.000 __init__.py:195(can_be_empty_element)
      741    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
      157    0.000    0.000    0.000    0.000 _state.py:258(_fire_state_triggered_transitions)
      424    0.000    0.000    0.000    0.000 __init__.py:492(string_container)
      136    0.000    0.000    0.001    0.000 css_parser.py:371(__init__)
     1120    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      151    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
     1847    0.000    0.000    0.001    0.000 __init__.py:122(unescape)
      596    0.000    0.000    0.004    0.000 enum.py:359(__call__)
      295    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
      397    0.000    0.000    0.003    0.000 typing.py:933(__init__)
      193    0.000    0.000    0.001    0.000 enum.py:986(__and__)
     1293    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      154    0.000    0.000    0.175    0.001 _models.py:1569(iter_bytes)
      512    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:391(cached)
      432    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      130    0.000    0.000    0.005    0.000 typing.py:1121(__getitem__)
      153    0.000    0.000    0.171    0.001 _models.py:1620(iter_raw)
      269    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      325    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
     1188    0.000    0.000    0.000    0.000 parser.py:126(clear_cdata_mode)
       13    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
      133    0.000    0.000    0.001    0.000 typing.py:266(_remove_dups_flatten)
      193    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      457    0.000    0.000    0.001    0.000 contextlib.py:279(helper)
      770    0.000    0.000    0.001    0.000 typing.py:137(_type_convert)
     1256    0.000    0.000    0.000    0.000 __init__.py:435(set_up_substitutions)
      457    0.000    0.000    0.001    0.000 contextlib.py:130(__enter__)
      193    0.000    0.000    0.052    0.000 sre_compile.py:598(_code)
      683    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1347(_path_importer_cache)
      972    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     2462    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
      304    0.000    0.000    0.001    0.000 _receivebuffer.py:76(maybe_extract_at_most)
      269    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
  212/174    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      295    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
     1255    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
  460/264    0.000    0.000    0.001    0.000 typing.py:1230(__hash__)
      581    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
      869    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      384    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     1010    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      583    0.000    0.000    0.001    0.000 enum.py:678(__new__)
      243    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      869    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      183    0.000    0.000    0.000    0.000 _receivebuffer.py:66(_extract)
  631/483    0.000    0.000    0.001    0.000 typing.py:1023(__hash__)
    348/4    0.000    0.000    0.296    0.074 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     1624    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       94    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      296    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:169(__enter__)
       54    0.000    0.000    0.004    0.000 dataclasses.py:412(_create_fn)
      291    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       75    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
     1624    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      193    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
     1128    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      289    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1422(find_spec)
  244/242    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      759    0.000    0.000    0.000    0.000 _connection.py:182(their_state)
      600    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
  136/131    0.000    0.000    0.003    0.000 css_parser.py:397(freeze)
     1180    0.000    0.000    0.000    0.000 typing.py:1008(<genexpr>)
      431    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      157    0.000    0.000    0.001    0.000 _state.py:226(process_event)
      195    0.000    0.000    0.004    0.000 typing.py:1130(copy_with)
      426    0.000    0.000    0.000    0.000 _htmlparser.py:189(handle_data)
   173/65    0.000    0.000    0.153    0.002 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      852    0.000    0.000    0.000    0.000 typing.py:1017(__eq__)
      510    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       63    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
